代码,股息率
601988.SH,3.8
513530.SH,7.7055
600900.SH,3.552
601066.SH,1.505
600886.SH,3.428
600750.SH,4.395
600795.SH,4.348
000651.SZ,8.014
600941.SH,5.106
601919.SH,10.777
000858.SZ,5.556
600887.SH,6.641
601985.SH,2.055
003816.SZ,2.149
601318.SH,4.407
000333.SZ,5.185
600036.SH,7.549
000538.SZ,2.134
